,date,headline,story
190," Apr 4, 2018 "," Spotify's Cautious Analysts Start to Emerge, Shares Stumble "," a rating on Spotify, said in an interview that there’s a risk that larger competitors such as Amazon.com Inc. may price their music services more aggressively.Shares of Spotify fell as much as 8... "
191," Mar 30, 2018 ", Amazon Is Trying to Broaden to Teenage Customers ,"                                                                                      What's Amazon's next challenge? Teens without the plastic to buy online, @jennysurane reports #tictocnews... "
192," Apr 4, 2018 ", 27-Year-Old Set to Bring Asia’s Bazaars to Your Phone ," by 2025, is attracting interest from global companies such as Alibaba Group Holding Ltd. and Amazon.com Inc. Zilingo tries to stand out by focusing on mom-and-pop merchants and helping them manage... "
193," Apr 3, 2018 "," Bloomberg Baystate Business:  Wynn, Massport, Trump "," report. Bloomberg News reporter Mike Dorning talked about the President’s verbal attacks against Amazon.  Massport CEO Tom Glynn talked about noise near the airport, Terminal E, and the controversy... "
194," Apr 4, 2018 ", China’s Tit-for-Tat Tariffs Send U.S. Index Futures Tumbling ," been caused by a selloff in mega-cap technology stocks, as President Donald Trump has criticized Amazon.com Inc. in a series of tweets and as Facebook Inc.’s user-data crisis continues. The S&P 500... "
195," Apr 4, 2018 ", Drone Buffs May Face New Restrictions If Alphabet Gets Its Way ," Warner Inc.’s CNN, Ford Motor Co. and the American Fuel & Petrochemical Manufacturers. While Amazon.com Inc.’s Prime Air isn’t a member, it has sought similar assurances hobbyists will be following... "
196," Apr 4, 2018 ", Your Evening Briefing ," buyers during the recession.Trump’s tweets won’t fix the post office, but more customers like Amazon could. With first-class mail and catalogs disappearing, the U.S. Postal Service needs something... "
197," Apr 4, 2018 ", Google Bought Enough Clean Power for Whole Company and Then Some ," gigawatts of clean-power plants globally, according to New Energy Finance -- more than double that of Amazon.com Inc., the next biggest green consumer.“It’s a significant investment, leading to lots of... "
198," Apr 4, 2018 ", A Wild Ride Is the New Normal for U.S. Stocks , trillion tax overhaul and anti-regulatory stance. Trump’s recent calls for tighter regulations on Amazon.com Inc. have sunk shares of the nation’s fourth-largest company by market value.Changes Coming“What’s... 
199," Apr 4, 2018 ", Zscaler Rebuffed Takeover Offers Before 2018 IPO ," brought on by fears of a trade war, Facebook Inc. privacy worries and White House attacks on Amazon.com Inc., public market valuations remain favorable for IPOs. The Nasdaq 100 Index is up almost... "
200," Apr 4, 2018 ", Zscaler Rebuffed Takeover Offers Before 2018 IPO ," brought on by fears of a trade war, Facebook Inc. privacy worries and White House attacks on Amazon.com Inc., public market valuations remain favorable for IPOs. The Nasdaq 100 Index is up almost... "
201," Apr 4, 2018 ", Apple Hires Google Executive to Catch Rivals in AI Race ," Cook, has much work to do. Apple, which pioneered smartphones and tablets, has lagged behind Amazon.com Inc., Alphabet Inc.’s Google and Microsoft Corp. in AI.The Cupertino, California, company... "
202," Apr 4, 2018 ", Smucker to Buy Rachael Ray Dog Food Brand in $1.9 Billion Deal , industry as Walmart Inc. and Kroger Co. ramp up the delivery of groceries in the aftermath of Amazon.com Inc.’s acquisition of Whole Foods Market.Online sales currently only account for about 3... 
203," Apr 3, 2018 ", Spotify Poised to List in Turbulent Time for Shares: Tech Update ," money with Amazon. THEY LOSE A FORTUNE, and this will be changed. Also, our fully tax paying retailers are closing stores all over the country....not a level playing field.” Amazon’s stock closed... "
204," Apr 4, 2018 ", Brazil Railroad Posting 755% Rally Fights for Take-or-Pay Clause ," massive investments in new terminals and barge fleets opened up a shipping alternative along an Amazon route.""Flexibility has a cost -- everybody wants flexibility, but you need to calculate that... "
205," Mar 30, 2018 ", Amazon Severs Ties With Top Lobbying Firms in Washington ," Friday, a week before Trump briefly sent Amazon’s stock tumbling with a Twitter attack on the world’s largest online retailer. Trump charged that Amazon doesn’t pay enough in state and local sales... "
206," Apr 5, 2018 ", Spotify's Non-IPO Wasn't Much of an IPO ," being tech companies, but, you know, there are actual tech companies in the world. Google or Amazon could presumably build trading algorithms, if they put their minds to it. Plenty of smart technologists... "
207," Apr 3, 2018 "," Bad Year for the FAANGs? In Asia Tech, It's Just A Little Worse "," the companies driving these moves:Netflix, Amazon LeadNetflix remains among the top-performing stocks in the benchmark S&P 500 Index this year and Amazon has weathered repeated Twitter rants from... "
208," Apr 3, 2018 "," French Grocers Auchan, Casino in Talks for Purchasing Alliance ", country’s top grocer to Leclerc. Last month Amazon.com Inc. formed a delivery deal with Casino in Paris to sell items from its Monoprix stores via the Amazon Prime Now app.Auchan and Casino said they... 
209," Apr 3, 2018 ", Five Things You Need to Know to Start Your Day , went risk-on late in the U.S. session amid reports the White House isn’t looking to challenge Amazon.com’s business. Here are some of the things people in markets are talking about.Trump Releases... 
210," Mar 30, 2018 ", Here’s Why Trump Went Postal on Amazon ," The Amazon blame game took another turn on Thursday, when President Donald Trump spun the wheel back around to the U.S. Postal Service. Amazon.com Inc. is a convenient scapegoat for just about... "
211," Mar 29, 2018 ", Trump Tweets on Amazon ,"                                                                    In a tweet, Trump accused Amazon of putting ""many thousands of retailers out of business"" #tictocnews... "
212," Apr 3, 2018 "," Asian Stocks Set to Climb; Treasuries, Yen Tumble: Markets Wrap ", consumers. A Bloomberg report that suggested the White House isn’t actively looking to challenge Amazon.com’s business despite days of attacks from the president.The Director of the National Trade... 
213," Apr 3, 2018 ", Three Potential Problems on the Horizon for President Trump ," Republican Congress, with Trump's marginal participation) delivered. However, Trump's assault on Amazon.com Inc. could scare other businesses, and the general chaos and instability of the administration... "
214," Apr 4, 2018 ", Artificial Intelligence Can Also Be a Job Creator ," the companies pioneering the use of artificial intelligence in recent years -- Alphabet Inc., Amazon.com Inc., Facebook Inc., Uber Technologies Inc., etc. -- have not been great at. ""Part of the... "
215," Apr 3, 2018 ", Tiger Global Among Top Spotify Holders With $1.9 Billion Stake ," an early investor in both Facebook Inc. and LinkedIn Corp. It was invested in Microsoft Corp., Amazon.com Inc., Netflix Inc. and Alphabet Inc. as of Dec. 31, filings show. Coleman, 42, who was a... "
216," Mar 29, 2018 ", Amazon's High Stock Price Might Just Be the Real Problem ," Forget about its business, Amazon Inc.’s price is too high, according to Smead Capital Management’s Chief Investment Officer Bill Smead.""The analysts are looking at the underlying business and... "
217," Apr 3, 2018 ", Mobile Esports Firm Doubles Revenue in Just 10 Months ," investment bank Berenberg. By 2020, that’s projected to be 50 percent, or $65 billion.In March Amazon rolled out its GameOn service, a competitor to Skillz that helps mobile and PC developers promote... "
218," Mar 29, 2018 ", Amazon Faces Market Open After Tweets ,"                                                                 U.S. stocks open higher, but Amazon reversed a premarket gain when Trump accused the company of not paying taxes in a tweet https://bloom... "
219," Apr 3, 2018 ", Humana's Medicare Advantage Boost Could Cost Walmart , potentially interested buyers. Walgreens Boots Alliance Inc.'s pharmacy business looks exposed as Amazon.com Inc.'s entry into the health-care business looms and rivals consolidate. Humana has by far... 
220," Apr 2, 2018 "," Google Shakes Up Management at Top of Powerful Search, AI Units "," widely considered the technical leader in both fields, but is facing new threats from rivals like Amazon.com Inc. and Apple Inc. with the advent of voice-based search devices.To run search, Google tapped... "
221," Apr 2, 2018 "," Bloomberg Markets: Tech Rout Returns, Tesla Could Fall Short "," Sutherland, Bloomberg Gadfly Columnist. Spencer Soper Tech Reporter Bloomberg News Discussing Amazon feeling an impact from President Trump’s attacks. Mark Gurman Technology Reporter Bloomberg News... "
222," Apr 3, 2018 "," Stocks Surge, Bonds Retreat as Risk-On Resumes: Markets Wrap ", following a Bloomberg report that suggested the White House isn’t actively looking to challenge Amazon.com’s business despite days of attacks from the president. That news came after the Director... 
223," Apr 3, 2018 ", Alibaba Chock-Full of Goodwill Might Lay Off Those Deals ," ratio further.None of Alibaba's peers has a goodwill-to-asset ratio that comes anywhere close. Amazon.com Inc.'s stands at 10.2 percent, eBay Inc. at 18.4 percent and JD.com Inc. at a mere 3.6 percent... "
224," Apr 3, 2018 ", Einhorn Lost Money on Long and Short Wagers in First Quarter ," stocks in the “bubble basket” Einhorn has said he’s betting against -- including Netflix Inc. and Amazon.com Inc. -- have sold off in recent weeks, the moves did little to help his portfolio. His fund... "
225," Apr 3, 2018 "," Everyone Says to Buy the Dip, Even the White House: Taking Stock "," Fair article citing sources that say Trump is looking at ways to escalate his tweet-slams on Amazon -- ""He’s off the hook on this. It’s war."" -- advisers are reportedly encouraging Trump to cancel... "
226," Apr 2, 2018 ", S&P 500 Slide May Be Fueled Partly by Traders Cutting Long Bets , decline from a January high past 10 percent. Renewed criticism from President Donald Trump of Amazon.com Inc. hit technology stocks and retaliatory tariffs from China dampened the outlook for investors... 
227," Apr 3, 2018 ", U.S. Leaves Door Open to Talks With China Amid Trade-War Fears , affairs at the U.S. Chamber of Commerce.An organization representing tech companies including Amazon.com Inc. and Intel Corp. urged the Trump administration to work with other countries to “address... 
228," Apr 3, 2018 ", Wages Are Getting Too High in Europe’s Eastern Workshop ,"  In Romania, tax breaks lured the likes of Oracle Corp. and IBM.In Poland, such companies as Amazon, JPMorgan and IBM have set up hubs or distribution centers, bringing foreign direct investment... "
229," Apr 3, 2018 ", Silicon Valley and Washington Are Now in Charge ,"  internet search and browsers, personal computers, smartphones, ride-sharing apps, Facebook, Amazon delivery and much more. It’s the old American “can-do” mentality, but accelerated and intensified... "
230," Mar 29, 2018 ", Amazon Wants to Get to Teenagers Before the Banks Do , pseudo-debit card called Amazon Cash that lets teenagers drop off money at drugstores such as 7-Eleven Inc. and CVS Health Corp. and add it to an Amazon wallet they can use online.But Amazon has long known... 
231," Mar 29, 2018 ", White House Whiplash on Amazon Adds to Sky-High Tech Volatility , with regulating Amazon.com. Then the U.S. president had “no plans” to change policy toward the e-commerce behemoth. Finally there was the tweet.The back-and-forth whipsawed Amazon shares and sent... 
232," Apr 2, 2018 ", Stocks' Second-Quarter Start Is the Worst Since the Great Depression ," stocks.)China’s retaliatory trade tariffs combined with President Donald Trump’s criticism of Amazon.com Inc. to send equities into a tailspin Monday. Shares in the online retailer tumbled, encouraging... "
233," Mar 29, 2018 ", Wall Street Is Unfazed by Trump’s Disdain of Bezos and Amazon ," favorably positions Amazon relative to its peers.""If Amazon were to collect sales tax on behalf of 3P merchants, it would raise the price of 3P merchandise relative to Amazon’s own inventory, hurting... "
234," Mar 29, 2018 ", Loup Ventures' Munster Says Chances of Trump Taking Action Against Amazon Is 'Extremely Low' ,"          Gene Munster, co-founder of Loup Ventures, discusses the impact of a Trump tweet on Amazon and outlook for the company overall. He speaks with Jonathan Ferro on ""Bloomberg Markets: The... "
235," Apr 2, 2018 ", Trump’s Decision-Making Looks Set to Keep Markets on Edge: UBS Wealth ," tumbled to start the week, led lower by technology stocks, as fresh presidential criticism of Amazon.com Inc. and retaliatory tariffs from China rattled investors. China’s changes to its treatment... "
236," Apr 3, 2018 ", What Geishas Gain From Giving Up Their Smartphones ," from 2020. Intel shares fell on the news, while TSMC and Samsung may end up as beneficiaries. Amazon shares dropped again after another presidential attack. A new round of critical comments from... "
237," Apr 2, 2018 ", Five Things You Need to Know to Start Your Day ," Friday, which are expected to show unemployment fall to its lowest level since 2000.Amazon in the crosshairsAmazon.com Inc. looks set to come under more pressure when U.S. stocks resume trading on... "
238," Apr 2, 2018 ", Hudson's Bay Shares Fall After Payment Card Breach ," which has been struggling to win back customers increasingly turning toward online retailers like Amazon.com Inc. Last week, Hudson’s Bay reported fourth-quarter earnings that missed estimates and a... "
239," Mar 29, 2018 ", Not Clear That Government Has Ability To Curtail Amazon: Ovide ," Abramowicz. GUEST: Shira Ovide, Bloomberg Gadfly technology columnist, on Trump’s attacks on Amazon, Apple’s new iPad, and why investors are suddenly concerned about the big tech companies. Running... "
240," Apr 2, 2018 "," Tweets, Peeps and Pensions ", My “Really? April snow?” morning train reads:Amazon’s stock always recovers after a Trump tweet makes it fall (Recode); see also The companies the president disparaged have done much better than... 
241," Mar 29, 2018 ", Amazon Takes a Turn in the Tech Investor Hot Seat ," and not, at Amazon's stock reaction. The U.S. president's antipathy for Amazon or CEO Jeff Bezos is no secret. Last summer, Trump tweeted a not-quite-accurate criticism about Amazon's tax payments... "
242," Mar 28, 2018 ", Amazon Lost $53 Billion In Market Value , Amazon lost $53 billion in market value after reports Trump wants to go after the company. @TheChartress... 
243," Apr 2, 2018 ", Dreamer Deadlock Energizes Democrats' Midterm Bid , campaign designed to raise international awareness of their plight as refugees.Amazon rant | Investors will be watching Amazon closely today to see whether a fresh round of criticism from Trump over the... 
244," Mar 28, 2018 ", Amazon Is New FAANG Punching Bag as Trump Reportedly Takes Aim ,"                                                             Bloomberg's Tom Giles discusses Amazon's slide and a report that President Trump is ""obsessed"" with regulating the e-commerce giant. ... "
245," Mar 29, 2018 ", Fact-Checking Trump and the White House’s Amazon Claims ," Postal ratesTrump’s claim: Amazon is free-riding on the U.S. Postal Service, causing “tremendous losses to the U.S.”Amazon’s response: The postal service makes money on Amazon package deliveries.The... "
246," Mar 29, 2018 ", Here’s What Trump Could Do to Amazon ," enforcement, says Amazon should be scrutinized. One area of concern is the way Amazon can exploit information it collects about third-party sellers to better compete against them. Amazon can use sales... "
247," Apr 2, 2018 ", iQiyi Investors Must Believe in China Content War Truce ," live-streaming operators such as YY and Momo. Think of the way Netflix not only competes with Amazon.com Inc., but also broadcast and cable TV.This means iQiyi investors aren't just betting on a... "
248," Apr 2, 2018 ", Your Evening Briefing ," stocks tumbled, led by a rout in technology shares. Tesla was weighed down by Model 3 worries. Amazon was berated by President Trump again. And economists are warning the world is on the verge of... "
249," Mar 28, 2018 ", Paul Krugman Says Amazon a 'Bad Actor' in Some Ways ," distinguished professor of economics at the Graduate Center, City University of New York, discusses Amazon.  He speaks with Scarlet Fu, Lisa Abramowicz and Joe Weisenthal on Bloomberg's ""What'd You Miss... "
250," Apr 3, 2018 ", Why Spotify Doesn't Want a Stock Pop on Its First Day of Trading , sell-off and broader market volatility as President Donald Trump imposed tariffs and threatened Amazon.com Inc. Facebook Inc. privacy flaws were also revealed in connection to a firm that worked with... 
251," Mar 28, 2018 ", Amazon Takes Fresh Stab at $16 Billion Housekeeping Industry ," customer concerns about safety. Amazon makes using its own workforce part of the pitch.""All our technicians are Amazon employees who are trained professionals,"" the Amazon Home Assistants website states... "
252," Apr 2, 2018 "," For Quants Chasing Momentum It's a New Quarter, Same Bad Results "," Asset Management in Chicago.Though President Donald Trump’s renewed criticism and tweets about Amazon.com Inc. may be adding to the pressure, the overall weakness in the quant trade shows the declines... "
253," Mar 28, 2018 ", The White House Says Trump Isn't Planning to Curb Amazon ,"                      The White House says Trump isn't considering policy changes directed at Amazon, despite media reports #tictocnews... "
254," Apr 2, 2018 ", Rattled Stock Bulls Cling to Predicted Earnings Surge ," as overnight weakness quickly turned into a rout. Tweets from President Donald Trump attacking Amazon.com Inc. sent big tech shares careening lower, while a report that Apple Inc. might ditch Intel... "
255," Mar 28, 2018 ", Trump Renews Amazon Criticism After Report He’s ‘Obsessed’ With Regulating It ," Wednesday the Trump administration isn’t considering any changes in policy directed at Amazon.com, Inc.Amazon.com lost $53 billion in market value on Wednesday after Axios reported that President... "
256," Mar 28, 2018 "," Amazon Loses $53 Billion in Market Value, Becoming FAANG's Biggest Loser "," Facebook. U.S. investors have a new punching bag among the FAANGs: Amazon.com, Inc.Facebook Inc. gave up the top loser spot to Amazon.com, which lost $53 billion in market value on Wednesday after... "
257," Apr 2, 2018 ", Last Line of Technical Defense Under Siege Across Risk Assets ," are still well above this technical level thanks to their steady advance over the past year. Amazon.com Inc.’s still trading above its 100-day moving average, as are Microsoft Corp. and NVIDIA... "
258," Apr 2, 2018 ", Five Things You Need to Know to Start Your Day ," Depression. Tech shares led a tumble in all the main gauges. Fresh presidential criticism of Amazon.com and retaliatory tariffs from China rattled markets as the S&P 500 fell 2.2 percent, dropping... "
259," Apr 2, 2018 "," Alibaba Takes Control of Ele.me, Valuing Startup at $9.5 Billion "," invest another $2 billion in Lazada Group SA to bolster its presence in Southeast Asia, where Amazon.com Inc. has launched in Singapore and Sea Ltd.’s Shopee is expanding to win consumers.The Ele... "
260," Mar 28, 2018 ", Walmart Beat Netflix and Amazon to Video on Demand But Still Lost ," Walmart Inc. has a vast arsenal at its disposal in its battle with Amazon.com Inc.: stores, trucks, warehouses, even a blockchain-enabled supply chain of fruits and vegetables.But there’s one weapon... "
261," Apr 2, 2018 ", U.S. Trucking Prices Are About to Rise Even More ," making it harder for drivers to cheat and squeeze in extra miles to reach a destination.Read more: Amazon isn’t alone as transportation costs climbThe disruption even has spread to railroads, especially... "
262," Mar 28, 2018 ", Amazon Slides With Another ‘Long Day’ for Tech Traders ," President Donald Trump is said to be looking at whether to go after Amazon.com Inc. with antitrust or competition law. Amazon fell as much as 6.2 percent, its worst day in more than six weeks. Other... "
263," Mar 29, 2018 ", Facebook Fallout and Alexa on Wall Street (Podcast) ," funds to watch in the Facebook fallout, why several bond managers see danger on the horizon and Amazon’s Alexa coming to Wall Street. They’ll also discuss investing in these markets for wealthy clients... "
264," Mar 29, 2018 "," Leigh Drogen Says Q4 Numbers Good, Tax Reform Baked In ","            Leigh Drogen, Estimize founder & CEO, discusses first quarter market numbers and Amazon's recent fall. He speaks with Julia Chatterley on "" Bloomberg Daybreak: Americas.""... "
265," Apr 2, 2018 ", A Wild Ride Behind the Scenes as Saudi Crown Prince Does America ," delegation headed to the West Coast for meetings with Microsoft founder Bill Gates and the heads of Amazon, Apple, Google and Uber.Ali Shihabi, founder of Arabia Foundation, discusses the U.S. tour of... "
266," Mar 28, 2018 "," Warehouses Are Now Worth More Than Offices, Thanks to Amazon "," Partners, he said, adding that KKR & Co. and Goldman Sachs Group Inc. have also gotten involved.Amazon.com Inc., naturally, is the top occupier of industrial space in the U.S., with 102 million square... "
267," Mar 27, 2018 "," Netflix, Amazon Face Retail Sales Tax Crackdown in Quebec ", Quebec is getting serious about taxing Amazon.com Inc. and Netflix Inc.Canada’s second-most populous province said Tuesday it would make the collection of the provincial sales tax mandatory for... 
268," Mar 29, 2018 ", Convertible Bonds Look Combustible as Twitter to Tesla Slump ," recover their 8 percent loss in the first half of February, however.Next AmazonIssuing convertible debt turned out well for Amazon and its investors as the company burned cash in its early days that... "
269," Mar 29, 2018 ", Here's What Coming Up On #tictocnews , what's coming up next on #tictocnews - Russia kicks out 60 U.S. diplomats - Trump coming for Amazon again - Cadillac lures millennials... 
270," Mar 27, 2018 ", Amazon's French Delivery Deal Has Ripples All the Way to Brazil ," selling the Via Varejo appliance and electronics chain to Amazon, the news agency said. GPA rose as much as 5.5 percent in Sao Paulo.Amazon declined to comment. Casino, which had already announced... "
271," Apr 2, 2018 ", What Facebook’s Data Scandal Really Means for Regulators ," development. The EU, which has no big data-collecting corporations on the scale of Facebook, Amazon.com Inc., or Chinese giant Tencent Holdings Ltd., has said it wants to lead in the ethical use... "
272," Apr 1, 2018 "," EDF, IBM Warn U.K. of Shortages, Risks After Brexit, Mail Says "," the 7,500 non-British workers it needs are not available, the Mail said.Other firms, including Amazon.com Inc., high-street retailer John Lewis, AstraZeneca Plc, McDonald’s Corp. and British Gas... "
273," Mar 27, 2018 "," Sainsbury CEO Balancing Competition From Amazon, Discounters "," discusses the importance of having a strong online presence and improving efficiency to compete with Amazon. He speaks on ""Bloomberg Surveillance.""... "
274," Mar 26, 2018 ", Amazon's Alexa Heads To Wall Street ," target for Apple is.""  JPMorgan's institutional clients can now get their questions answered by Amazon's voice-activated assistant https://bloom.bg/2Gadas8 #tictocnews... "
275," Mar 28, 2018 ", Trump’s Real Estate Pals Said To Want Amazon Curtailed: Wilson ," Bloomberg Markets AM with Pimm Fox and Lisa Abramowicz. GUEST: Market Drivers with Bloomberg stocks editor Dave Wilson, and Max Nisen, Bloomberg Gadfly health care columnist, on Takeda Pharmaceutical... "
276," Apr 1, 2018 ", Threats From All Sides Push Walmart and Humana Closer Together , Walmart Inc. and health insurer Humana Inc. may be facing different threats with the same solution.Amazon.com Inc. has taken direct aim at the giant retailer by siphoning customers out of its stores... 
277," Mar 29, 2018 "," 03/29 The Cable - London Housing, Tech & Tesla "," Bloomberg’s Macro Squawk Analyst in NY, and Lananh Nguyen, Bloomberg FX bond reporter, about Amazon, Tesla, and the week ahead. This is a Bloomberg podcast. To download, watch or listen to this... "
278," Mar 27, 2018 ", Amazon Gains French Beachhead in Deal With Casino's Monoprix ," Monoprix stores will be sold via Amazon’s Prime Now service in Paris and the surrounding region, the companies said late Monday. The move comes as Amazon pushes further into food in Europe and supermarket... "
279," Mar 28, 2018 ", Warehouses Cost More Than Offices ,"                                                                                    Thanks to Amazon, warehouses are now worth more than offices https://bloom.bg/2GihSQN #tictocnews... "
280," Mar 27, 2018 ", Mall Mergers Are Accelerating in the Age of Amazon ," As the age of Amazon takes its toll on retailers, mall owners are finding it may be better not to confront the turmoil on their own.GGP Inc., the second-largest U.S. mall landlord, agreed Monday... "
281," Mar 29, 2018 ", Bloomberg Best: From Our Bureaus Worldwide - March 29 (Audio) ," to China, Terry Branstad. Plus, Nobel laureate Paul Krugman discusses the ongoing feud between Amazon and President Trump. producer: David Sucherman +1-212-617-7663 or dsucherman@bloomberg.net Running... "
282," Mar 28, 2018 "," Krugman Discusses Trade, Fed and Technology "," City University of New York, gives his views on a potential trade war, the Federal Reserve, and Amazon.  He speaks with Lisa Abramowicz, Scarlet Fu and Joe Weisenthal on Bloomberg's ""What'd You Miss... "
283," Mar 29, 2018 ", Anything Over 3% On 10-Year UST Is Overreaction: PGIM’s Collins ," rate hike outlook. Shira Ovide, Bloomberg Gadfly technology columnist, on Trump’s attacks on Amazon, Apple’s new iPad, and why investors are suddenly concerned about the big tech companies. Jim... "
284," Apr 1, 2018 "," For Bond Traders, Stocks Are All That Truly Matters in Jobs Week "," Rather, it was investors seeking refuge from the volatility in equity-market darlings such as Amazon.com Inc., Facebook Inc. and Tesla Inc. That dynamic looks unlikely to change in the coming days... "
285," Mar 30, 2018 "," Walmart-Humana Deal Sounds Wild, But Would Make Sense "," and Express Scripts Holding Co., a similar pairing.Driving all this dealmaking is the fact that Amazon.com Inc. -- a recent target of ire for President Donald Trump -- has its eye on health care. ... "
286," Mar 27, 2018 ", JPMorgan's Amazon Alexa Debut Won't Change Wall Street , request that JPMorgan Chase & Co. institutional clients can now get quickly answered through Amazon.com Inc.’s ubiquitous voice-activated assistant. The bank and the e-commerce giant have partnered... 
287," Mar 28, 2018 ", How the Facebook Fallout Is Hitting ETFs ," NYSE FANG Index had its worst drop in more than three years as ""FANG"" stocks like Facebook and Amazon tumbled. The index has now fallen in eight out of the last nine sessions. Bloomberg's Scarlet... "
288," Mar 30, 2018 ", Einhorn's Main Hedge Fund Down 14% This Year After March Drop ," to its losses despite a selloff in several technology companies at the end of March, including Amazon.com Inc. and Netflix Inc. The money manager has been shorting a group of technology stocks, including... "
289," Mar 26, 2018 ", Shopify Chooses Google Cloud Service Over Amazon , catch Microsoft Corp. and Amazon.com Inc. in the lucrative business of internet-based computing.It’s also another case of a retail-related company choosing Google over Amazon’s cloud. Companies including... 
290," Mar 26, 2018 ", Amazon's Health Care Threat Is Already Reshaping The Industry ," Without having done much yet, Amazon.com Inc. is already transforming U.S. health care -- and not necessarily for the better. The mere threat of the online giant getting into the health business... "
291," Mar 29, 2018 ", Bloomberg Markets: How Facebook Helps Shady Advertisers ," Professor:Marketing Leonard N Stern School of Business Discussing troubles for both Facebook and Amazon, which happen to be two of the companies featured in his book ""The Four."" Alan Zafran Managing... "
292," Mar 26, 2018 ", JPMorgan Brings Amazon’s Alexa to Wall Street Trading Floors ," ’Skill’JPMorgan’s automated service, known in Amazon verbiage as a “skill,” is the latest shared project for the biggest U.S. bank and the world’s largest online retailer. Amazon already leases cloud-computing... "
293," Mar 28, 2018 ", Worst FANG Day Ever Finally Shakes Up Tech Hedging Costs: Chart ," since July relative to that for the SPDR S&P 500 ETF Trust. So-called FANG -- Facebook Inc., Amazon.com Inc., Netflix Inc. and Google’s parent Alphabet Inc. -- tumbled on Tuesday, with the NYSE... "
294," Mar 29, 2018 ", Your Evening Briefing ," off more criticism at Amazon, saying his problems with it predate his election, a day after a report that he’s “obsessed” with the idea of regulating the company. Amazon shares erased a premarket... "
295," Mar 29, 2018 ", Birinyi Stays Bullish as Big Money Holds the Line on Tech Stocks ," this week’s retreat amid Facebook Inc.’s privacy scandal and President Donald Trump’s threat to Amazon.com Inc., investors would be better off ignoring regulatory risk, according to the founder of... "
296," Mar 30, 2018 ", Japanese Shares Climb as They Cap Worst Quarter Since June 2016 ," since September 2015, rose on Thursday with help from energy stocks, chipmakers and a recovery in Amazon.com Inc. U.S. filings for unemployment benefits unexpectedly fell last week to the lowest level... "
297," Mar 27, 2018 ", VW Faces EU Scrutiny Over Luxembourg Tax Affairs ," Luxembourg are under scrutiny from the same European Union watchdogs who slapped Apple Inc. and Amazon.com Inc. with massive tax bills, according to a person familiar with the matter.The European... "
298," Mar 26, 2018 ", JPMorgan Brings Alexa to Traders ,"       JPMorgan Chase & Co. and Amazon.com Inc.’s have partnered to provide the bank's Wall Street users with another way to access its research, through Amazon's voice-activated assistant Alexa... "
299," Mar 29, 2018 ", Missouri’s Attorney General Will Expand His Scrutiny of Big Tech ," media giant for violating a 2011 agreement to safeguard users’ personal information.On Wednesday, Amazon lost more than $50 billion in market value after a report in Axios said President Trump was “obsessed”... "
300," Mar 29, 2018 ", Walmart in Talks With Humana for Deeper Partnership ," cost of health care has captured the attention of some of corporate America’s biggest titans. Amazon.com Inc., JPMorgan Chase & Co. and Berkshire Hathaway Inc. announced plans earlier this year... "
301," Mar 29, 2018 ", Stock Rout Wipes $141 Billion Off China's Three Tech Kings ," scandal to fatal crashes at Uber Technologies Inc. and Tesla Inc. The latest star to fall was Amazon.com Inc., after Axios reported that U.S. President Donald Trump is contemplating ways to “go... "
302," Mar 26, 2018 "," Alexa, Sell My Shares ","                                    Bloomberg’s Jason Kelly discusses digital advances to the Amazon Echo that may benefit investors. He speaks with Julia Chatterley and David Westin on ""Bloomberg... "
303," Mar 28, 2018 ", Worst Quarter for U.S. Stocks Since 2015 Has Surprising Leader ," technology group rallied 7.5 percent in January, while consumer discretionary shares, which include Amazon.com and Netflix, surged 9.2 percent. With a day and a half left in the quarter, those two are... "
304," Mar 29, 2018 "," CBS, Disney and TV Chums Need Digital Rethink "," to come along and try to solve it (consider the industry dynamics that led to Netflix Inc. and Amazon.com Inc.).  All the media giants are distracted with megamergers right now, the idea being that... "
305," Mar 28, 2018 "," Meme Labs, Underperformers and Shady Tactics "," problems are nothing compared to what’s coming for all of online publishing (Doc Searls Weblog)Amazon Is Already Reshaping Health Care (Bloomberg Gadfly)The Interstitium, the Largest Organ We Never... "
306," Mar 27, 2018 ", Insurance Companies Aren’t Solving Transparency Problem: DeVore ," (Nasdaq:PINC), and asking Max Nisen, Bloomberg Gadfly columnist covering health care, on drug pricing, Amazon, and how people in the US are dropping insurance due to costs. Max Nisen Bloomberg Gadfly Columnist... "
307," Mar 28, 2018 ", America’s Truckers Are Hauling In Higher Pay ," five private carriers offer a 401(k) plan and matching contributions, according to the study.Amazon Isn’t Alone as Transport Costs Climb“Fleets are reacting to concerns about the driver shortage... "
308," Mar 28, 2018 ", Investors Aren’t Breaking Up With Tech—Yet , 5 billion Wells Fargo Growth Fund beat 93 percent of peers over the past year by piling into Amazon.com Inc. and Google’s parent Alphabet Inc. But between Facebook Inc.’s privacy scandal and the... 
309," Mar 28, 2018 ", Facebook's New Privacy Measure Doesn't Go Far Enough ," daughter, for example, buys e-books on Amazon more frequently than I do, because her books are shorter, and that skews the ad targeting considerably: Amazon seems to think I'm eight.What I really... "
310," Mar 28, 2018 ", Tech Stocks Fear Premium Just Jumped to a 13-Year High ," the NYSE Fang+ Index on Tuesday, the single-stock equivalents of the Cboe Volatility Index for Amazon.com Inc., Apple Inc. and Alphabet Inc. are on track for their highest average closes since February... "
